SHIPMENT_XID,START_TIME,TOTAL_SHIP_UNIT_COUNT,TOTAL_WEIGHT,TOTAL_VOLUME,FIRST_EQUIPMENT_GROUP_GID,PRINCIPAL,DestName,Region,City,DestZone1,DestZone2,Segment
00363616,2019-03-29 07:00:00,480,6744.000120000001,10.84008,LFL/TMS/MYS.10T_BOX,UNILEVER,L.H. LIAN HUAT TRADING (M) SDN. BHD.,KELANTAN,KOTA BHARU,KLT-005,EAST COAST,DT-OUTSTATION
00363617,2019-03-29 07:00:00,1271,13316.114484999998,29.122726,LFL/TMS/MYS.20T_BOX,UNILEVER,PENGEDAR SERI JAYA,KELANTAN,KOTA BHARU,KLT-005,EAST COAST,DT-OUTSTATION
00363614,2019-03-29 00:00:00,478,6848.02791,14.430083999999999,LFL/TMS/MYS.10T_BOX,UNILEVER,MTA TRADING SDN BHD,SELANGOR,SUNGAI PELEK,KLV-017,CENTRAL,DT-LOCAL
00363638,2019-03-27 07:00:00,803,6538.769192,15.798163000000002,LFL/TMS/MYS.20T_BOX,UNILEVER,SWANG CHAI CHUAN SEAFOOD SDN BHD,PAHANG,KUANTAN,PHG-004,EAST COAST,DT-OUTSTATION
00363639,2019-03-27 07:00:00,717,5807.512900000001,10.409521999999999,LFL/TMS/MYS.10T_BOX,UNILEVER,SWANG CHAI CHUAN SEAFOOD SDN BHD,PAHANG,KUANTAN,PHG-004,EAST COAST,DT-OUTSTATION
00363640,2019-03-27 07:00:00,875,8322.783629,15.299070000000002,LFL/TMS/MYS.20T_BOX,UNILEVER,SWANG CHAI CHUAN SEAFOOD - TRENGGANU,TERENGGANU,KUALA TERENGGANU,TRG-002,EAST COAST,DT-OUTSTATION
00362889,2019-03-27 00:00:00,500,8109.999999999999,23.0,LFL/TMS/MYS.20T_BOX,UNILEVER,TIARAN SDN BHD,SELANGOR,KAJANG,KLV-003,CENTRAL,DT-LOCAL
00362873,2019-03-27 00:00:00,1020,8299.752840000001,24.541559999999997,LFL/TMS/MYS.20T_BOX,UNILEVER,GREAT PLUS ENTERPRISE SDN BHD,SELANGOR,KLANG,KLV-002,CENTRAL,DT-LOCAL
00362234,2019-03-21 07:00:00,1526,12018.378578999998,32.48158600000001,LFL/TMS/MYS.20T_BOX,UNILEVER,SIANG SELATAN SDN BHD,JOHOR,BATU PAHAT,JNT-003,SOUTH,DT-OUTSTATION
00362250,2019-03-21 07:00:00,1173,15729.254669999998,39.63,LFL/TMS/MYS.20T_BOX,UNILEVER,M C MOK SDN BHD,NEGERI SEMBILAN,SEREMBAN,NSN-001,SOUTH,DT-OUTSTATION
00362249,2019-03-21 07:00:00,1635,10935.546278,32.950380999999986,LFL/TMS/MYS.20T_BOX,UNILEVER,BOSTON TRADING SDN BHD,MELAKA,BATU BERENDAM,MLK-003,SOUTH,DT-OUTSTATION
00363332,2019-03-25 16:01:00,471,2532.5108060000002,6.00927,LFL/TMS/MYS.20T_BOX,UNILEVER,WATSON,SELANGOR,SHAH ALAM,KLV-001,CENTRAL,IMT-NS
00363391,2019-03-26 07:00:00,766,7404.734294,13.707860000000002,LFL/TMS/MYS.20T_BOX,UNILEVER,BGS TRADING SDN BHD,PENANG,BUTTERWORTH,PNG-003,NORTH,DT-OUTSTATION
00363641,2019-03-27 07:00:00,273,2589.729049,4.579077,LFL/TMS/MYS.10T_BOX,UNILEVER,SWANG CHAI CHUAN SEAFOOD - KELANTAN,KELANTAN,KOTA BHARU,KLT-005,EAST COAST,DT-OUTSTATION
00361567,2019-03-21 11:00:00,321,4689.714007,12.322008999999998,LFL/TMS/MYS.20T_BOX,UNILEVER,AEON DC,SELANGOR,BANDAR BARU BANGI,KLV-003,CENTRAL,IMT-NS
00362238,2019-03-21 07:00:00,931,11640.902692,31.232022999999998,LFL/TMS/MYS.20T_BOX,UNILEVER,BOSTON TRADING SDN BHD,MELAKA,BATU BERENDAM,MLK-003,SOUTH,DT-OUTSTATION
00362926,2019-03-22 23:00:00,1202,8379.376539,31.470948999999997,LFL/TMS/MYS.20T_BOX,UNILEVER,MYDIN CENTRAL DISTRIBUTION CENTRE - CDC,SELANGOR,SHAH ALAM,KLV-016,CENTRAL,IMT
00362938,2019-03-25 00:00:00,1575,13501.132360999998,31.613694000000002,LFL/TMS/MYS.20T_BOX,UNILEVER,GREAT PLUS ENTERPRISE SDN BHD,SELANGOR,KLANG,KLV-002,CENTRAL,DT-LOCAL
00363381,2019-03-26 07:00:00,275,3210.55623,6.672,LFL/TMS/MYS.10T_BOX,UNILEVER,HOK SING CHAN TRADING SDN BHD,PERAK,IPOH,PRK-004,NORTH,DT-OUTSTATION
00361568,2019-03-21 11:00:00,353,5015.211408000001,13.046010999999998,LFL/TMS/MYS.20T_BOX,UNILEVER,AEON DC,SELANGOR,BANDAR BARU BANGI,KLV-003,CENTRAL,IMT-NS
